iter	Passed	Remaining
431	1566	2060
432	1567	2053
433	1568	2045
434	1569	2038
435	1570	2031
436	1571	2024
437	1571	2016
438	1572	2009
439	1573	2002
440	1574	1995
441	1574	1988
442	1575	1981
443	1576	1974
444	1578	1968
445	1579	1961
446	1580	1954
447	1580	1947
448	1581	1941
449	1582	1934
450	1583	1927
451	1584	1920
452	1585	1914
453	1585	1907
454	1586	1900
455	1587	1893
456	1588	1887
457	1588	1880
458	1589	1873
459	1590	1866
460	1592	1861
461	1593	1855
462	1594	1848
463	1595	1842
464	1596	1836
465	1597	1830
466	1598	1824
467	1599	1817
468	1599	1811
469	1601	1805
470	1601	1799
471	1602	1793
472	1603	1786
473	1604	1780
474	1605	1774
475	1606	1768
476	1608	1763
477	1609	1757
478	1609	1751
479	1610	1744
480	1611	1738
481	1612	1732
482	1613	1727
483	1614	1721
484	1615	1715
485	1615	1709
486	1616	1703
487	1617	1697
488	1618	1691
489	1619	1685
490	1620	1680
491	1621	1674
492	1623	1669
493	1624	1663
494	1624	1657
495	1625	1652
496	1626	1646
497	1627	1640
498	1628	1635
499	1629	1629
500	1630	1624
501	1631	1618
502	1632	1612
503	1633	1607
504	1634	1602
505	1635	1596
506	1636	1591
507	1638	1586
508	1640	1582
509	1642	1577
510	1643	1572
511	1644	1567
512	1645	1561
513	1646	1556
514	1647	1551
515	1648	1546
516	1649	1541
517	1650	1535
518	1651	1530
519	1652	1525
520	1653	1520
521	1654	1514
522	1655	1509
523	1656	1504
524	1657	1499
525	1658	1494
526	1659	1489
527	1660	1484
528	1661	1479
529	1662	1474
530	1663	1469
531	1664	1464
532	1666	1460
533	1668	1455
534	1669	1451
535	1671	1446
536	1672	1441
537	1673	1437
538	1674	1432
539	1675	1427
540	1676	1422
541	1677	1417
542	1678	1412
543	1679	1407
544	1680	1403
545	1682	1399
546	1683	1394
547	1684	1389
548	1685	1384
549	1686	1379
550	1688	1375
551	1689	1370
552	1690	1366
553	1691	1361
554	1692	1357
555	1693	1352
556	1694	1347
557	1695	1342
558	1696	1338
559	1697	1333
560	1698	1329
561	1699	1324
562	1700	1319
563	1701	1315
564	1702	1310
565	1703	1305
566	1703	1301
567	1704	1296
568	1705	1291
569	1706	1287
570	1707	1282
571	1708	1278
572	1709	1274
573	1710	1269
574	1711	1265
575	1712	1260
576	1713	1256
577	1714	1251
578	1715	1247
579	1716	1242
580	1716	1238
581	1717	1233
582	1718	1229
583	1719	1224
584	1719	1220
585	1720	1215
586	1721	1211
587	1722	1207
588	1723	1202
589	1724	1198
590	1725	1194
591	1726	1190
592	1728	1186
593	1728	1181
594	1729	1177
595	1730	1173
596	1731	1168
597	1733	1165
598	1734	1160
599	1734	1156
600	1735	1152
601	1736	1147
602	1736	1143
603	1737	1139
604	1738	1135
605	1739	1130
606	1740	1126
607	1740	1122
608	1741	1118
609	1743	1114
610	1744	1110
611	1745	1106
612	1745	1102
613	1746	1098
614	1747	1093
615	1748	1089
616	1749	1085
617	1749	1081
618	1750	1077
619	1751	1073
620	1752	1069
621	1753	1065
622	1753	1061
623	1754	1057
624	1755	1053
625	1756	1049
626	1757	1045
627	1758	1041
628	1759	1037
629	1760	1033
630	1761	1030
631	1762	1026
632	1763	1022
633	1764	1018
634	1765	1014
635	1766	1010
636	1767	1006
637	1767	1003
638	1768	999
639	1769	995
640	1770	991
641	1771	988
642	1773	984
643	1774	980
644	1775	976
645	1775	973
646	1776	969
647	1777	965
648	1778	961
649	1778	957
650	1779	954
651	1780	950
652	1781	946
653	1781	942
654	1782	938
655	1783	935
656	1784	931
657	1785	928
658	1786	924
659	1787	921
660	1788	917
661	1789	913
662	1790	910
663	1791	906
664	1792	902
665	1793	899
666	1793	895
667	1794	892
668	1795	888
669	1796	884
670	1798	881
671	1799	878
672	1801	875
673	1803	872
674	1804	868
675	1806	865
676	1807	862
677	1808	858
678	1809	855
679	1810	852
680	1812	849
681	1814	845
682	1815	842
683	1817	839
684	1818	836
685	1820	833
686	1822	830
687	1823	827
688	1825	823
689	1826	820
690	1827	817
691	1828	813
692	1829	810
693	1831	807
694	1832	804
695	1833	800
696	1834	797
697	1836	794
698	1837	791
699	1839	788
700	1840	785
701	1842	782
702	1843	778
703	1845	775
704	1847	772
705	1848	769
706	1849	766
707	1851	763
708	1852	760
709	1853	757
710	1854	753
711	1856	750
712	1857	747
713	1858	744
714	1859	741
715	1860	737
716	1861	734
717	1863	731
718	1864	728
719	1865	725
720	1866	722
